# Manim CE Cheat Sheet
# Format: qualified_name | short signature | when to use / what it does

## Core Animation Base
manim.animation.animation.Animation | Animation(mobject=None, *args, **kwargs) | Base class for all animations. Sets run_time (duration in seconds), rate_func (easing), lag_ratio, remover, suspend_mobject_updating. All animations inherit from this.
manim.animation.animation.Add | Add(mobject, *args, **kwargs) | Instantly adds mobjects to the scene without animating. Useful when you need to add something without a visual transition.
manim.animation.animation.Wait | Wait(mobject=None, *args, **kwargs) | Pauses the scene for run_time seconds. Essential for pacing between animations.

## Animation Composition (arranging multiple animations)
manim.animation.composition.AnimationGroup | AnimationGroup(*animations) | Plays multiple animations simultaneously in parallel. Use lag_ratio to stagger them.
manim.animation.composition.LaggedStart | LaggedStart(*animations, lag_ratio=0.05) | Plays animations in sequence with overlap. The next animation starts before the previous finishes.
manim.animation.composition.LaggedStartMap | LaggedStartMap(animation_class, mobject) | Applies the same animation to every submobject of a mobject, one after another with overlap.
manim.animation.composition.Succession | Succession(*animations) | Plays animations strictly one after another (no overlap). Good for step-by-step sequences.

## Creation Animations (objects appearing on screen)
manim.animation.creation.Create | Create(vmobject) | Draws a VMobject on screen incrementally (like it is being sketched). Works on any VMobject.
manim.animation.creation.Write | Write(text_or_mathtex) | Draws text or MathTex character by character. Best for revealing equations or labels.
manim.animation.creation.Uncreate | Uncreate(vmobject) | Reverse of Create, erases a VMobject from the scene.
manim.animation.creation.Unwrite | Unwrite(vmobject) | Reverse of Write, erases text from the scene.
manim.animation.creation.DrawBorderThenFill | DrawBorderThenFill(vmobject) | Draws the border first, then fills the shape. Great for shapes like Circle, Rectangle, Polygon.
manim.animation.creation.AddTextLetterByLetter | AddTextLetterByLetter(Text) | Reveals a Text object letter by letter. Only works with Text, not MathTex.
manim.animation.creation.AddTextWordByWord | AddTextWordByWord(Text) | Reveals a Text object word by word.
manim.animation.creation.RemoveTextLetterByLetter | RemoveTextLetterByLetter(Text) | Removes Text letter by letter.
manim.animation.creation.ShowIncreasingSubsets | ShowIncreasingSubsets(group) | Shows submobjects one at a time, keeping previous ones visible. Good for building up lists.
manim.animation.creation.ShowSubmobjectsOneByOne | ShowSubmobjectsOneByOne(group) | Shows submobjects one at a time, removing previous ones. Good for highlighting items sequentially.
manim.animation.creation.SpiralIn | SpiralIn(mobject) | Object spirals into view. Decorative entrance effect.
manim.animation.creation.TypeWithCursor | TypeWithCursor(Text) | Types text with a blinking cursor at the end, like a terminal.
manim.animation.creation.UntypeWithCursor | UntypeWithCursor(Text) | Untypes text with a blinking cursor.

## Fading Animations
manim.animation.fading.FadeIn | FadeIn(mobject, shift=...) | Fades a mobject in. Optionally shifts it while fading. Use shift=UP/DOWN/LEFT/RIGHT for directional fade.
manim.animation.fading.FadeOut | FadeOut(mobject, shift=...) | Fades a mobject out. Optionally shifts it while fading.

## Growing Animations (objects scaling in)
manim.animation.growing.GrowArrow | GrowArrow(arrow) | Grows an arrow from its base to full length. Use for arrows pointing at things.
manim.animation.growing.GrowFromCenter | GrowFromCenter(mobject) | Grows a mobject outward from its center. Great for Circle, Square, Rectangle.
manim.animation.growing.GrowFromEdge | GrowFromEdge(mobject, edge) | Grows a mobject from a specified edge (UP, DOWN, LEFT, RIGHT).
manim.animation.growing.GrowFromPoint | GrowFromPoint(mobject, point) | Grows a mobject from a specific point in space.
manim.animation.growing.SpinInFromNothing | SpinInFromNothing(mobject) | Spins a mobject into view from nothing. Decorative.

## Indication Animations (drawing attention)
manim.animation.indication.Indicate | Indicate(mobject) | Temporarily scales up and changes color of a mobject to emphasize it, then returns to normal.
manim.animation.indication.FocusOn | FocusOn(point_or_mobject) | Creates a spotlight that focuses on a point or mobject.
manim.animation.indication.Circumscribe | Circumscribe(mobject, shape=Rectangle) | Draws a shape (Rectangle or Circle) around a mobject to highlight it.
manim.animation.indication.Flash | Flash(point) | Radiates flash lines from a point. Good for explosions or emphasis.
manim.animation.indication.Wiggle | Wiggle(mobject) | Wiggles a mobject back and forth. Good for playful emphasis.
manim.animation.indication.ApplyWave | ApplyWave(mobject) | Applies a wave-like distortion to a mobject.
manim.animation.indication.Blink | Blink(mobject) | Blinks a mobject on and off repeatedly.
manim.animation.indication.ShowPassingFlash | ShowPassingFlash(vmobject) | Sends a flash of light along the stroke of a VMobject.

## Movement Animations
manim.animation.movement.MoveAlongPath | MoveAlongPath(mobject, path) | Moves a mobject along a defined path (Line, Arc, or any VMobject used as path).
manim.animation.movement.Homotopy | Homotopy(function, mobject) | Continuously warps the points of a mobject according to a function.

## Number Animations
manim.animation.numbers.ChangeDecimalToValue | ChangeDecimalToValue(decimal_number, target) | Animates a DecimalNumber changing to a target value. Great for counting up/down.
manim.animation.numbers.ChangingDecimal | ChangingDecimal(decimal_number, func) | Animates a DecimalNumber updating according to a function over time.

## Rotation Animations
manim.animation.rotation.Rotate | Rotate(mobject, angle=PI/2) | Rotates a mobject by an angle. Use about_point to rotate around a specific point.
manim.animation.rotation.Rotating | Rotating(mobject, angle=2*PI, run_time=...) | Continuously rotates a mobject over time.

## Transform Animations (morphing one object into another)
manim.animation.transform.Transform | Transform(mobject, target) | Morphs a mobject into a target mobject. The original mobject is mutated and replaced.
manim.animation.transform.ReplacementTransform | ReplacementTransform(mobject, target) | Transforms a mobject into a target, replacing the original. Keeps rendering cleaner.
manim.animation.transform.TransformFromCopy | TransformFromCopy(mobject, target) | Keeps a copy of the original and transforms the copy into the target. Useful for "deriving from" effects.
manim.animation.transform.FadeTransform | FadeTransform(mobject, target) | Fades one mobject out while fading the other in. Smooth way to swap content.
manim.animation.transform.FadeTransformPieces | FadeTransformPieces(mobject, target) | Fade transforms each matching piece individually.
manim.animation.transform.ApplyMethod | ApplyMethod(mobject.method()) | Animates applying any method to a mobject. e.g. ApplyMethod(mobject.shift, UP).
manim.animation.transform.ApplyMatrix | ApplyMatrix(matrix, mobject) | Applies a matrix transformation to a mobject. Good for linear algebra visualizations.
manim.animation.transform.FadeToColor | FadeToColor(mobject, color) | Fades a mobject to a target color. Good for color-coding changes.
manim.animation.transform.MoveToTarget | MoveToTarget(mobject) | After calling mobject.generate_target(), transforms the mobject to its target state.
manim.animation.transform.ScaleInPlace | ScaleInPlace(mobject, factor) | Scales a mobject in place without moving its center.
manim.animation.transform.ShrinkToCenter | ShrinkToCenter(mobject) | Shrinks a mobject down to its center point and removes it.
manim.animation.transform.ApplyFunction | ApplyFunction(function, mobject) | Applies a function (like np.sin) to the points of a mobject.
manim.animation.transform.ApplyPointwiseFunction | ApplyPointwiseFunction(function, mobject) | Applies a pointwise function to each point of a mobject.
manim.animation.transform.ClockwiseTransform | ClockwiseTransform(mobject, target) | Transforms with a clockwise arc path.
manim.animation.transform.CounterclockwiseTransform | CounterclockwiseTransform(mobject, target) | Transforms with a counterclockwise arc path.
manim.animation.transform.CyclicReplace | CyclicReplace(*mobjects) | Moves mobjects cyclically - each takes the next one's position.
manim.animation.transform.Restore | Restore(mobject) | Restores a mobject to its last saved state (use mobject.save_state() first).
manim.animation.transform.Swap | Swap(*mobjects) | Swaps the positions of mobjects.
manim.animation.transform.TransformAnimations | TransformAnimations(starter, finisher) | Transforms one animation into another.

## Transform Matching (smart morphing)
manim.animation.transform_matching_parts.TransformMatchingShapes | TransformMatchingShapes(source, target) | Transforms groups by matching the shape of their submobjects. Smart morphing.
manim.animation.transform_matching_parts.TransformMatchingTex | TransformMatchingTex(source_tex, target_tex) | Transforms LaTeX by matching tex_string parts. Great for equation derivations.

## Updater Animations (continuous updates)
manim.animation.updaters.update.UpdateFromFunc | UpdateFromFunc(mobject, func) | Continuously updates a mobject using a function of the form func(mobject). Used for dependent mobjects.

## Changing Animations
manim.animation.changing.TracedPath | TracedPath(point_func) | Traces the path of a moving point. Pass a lambda that returns the current position of another mobject.

## Cameras
manim.camera.camera.Camera | Camera(background_color=..., frame_height=8, ...) | Base camera class. Controls what is rendered and how.
manim.camera.moving_camera.MovingCamera | MovingCamera(frame_width=...) | Camera that can zoom and pan. Use camera.frame.move_to(...) and camera.frame.set(width=...) to move/zoom.
manim.camera.three_d_camera.ThreeDCamera | ThreeDCamera(...) | 3D camera for ThreeDScene. Set orientation with set_camera_orientation(phi=..., theta=...).

## Frames
manim.mobject.frame.ScreenRectangle | ScreenRectangle(aspect_ratio=16/9, height=4) | A rectangle with the screen's aspect ratio. Good for framing elements.
manim.mobject.frame.FullScreenRectangle | FullScreenRectangle() | A rectangle covering the full screen. Good for full-screen overlays or backgrounds.

## Geometry - Arcs and Curves
manim.mobject.geometry.arc.Circle | Circle(radius=1, color=..., fill_opacity=...) | A circle. Most basic shape. Use radius, color, fill_opacity, stroke_width.
manim.mobject.geometry.arc.Dot | Dot(point=ORIGIN, radius=0.08, color=...) | A small filled circle. Good for points, particles, markers.
manim.mobject.geometry.arc.Arc | Arc(radius=1, start_angle=0, angle=PI/2) | A circular arc. Use for partial circles or angle indicators.
manim.mobject.geometry.arc.ArcBetweenPoints | ArcBetweenPoints(start, end, angle=PI/2) | An arc spanning between two points. Good for curved connections.
manim.mobject.geometry.arc.Ellipse | Ellipse(width=2, height=1) | An ellipse. Use width and height for the axes.
manim.mobject.geometry.arc.Annulus | Annulus(inner_radius=1, outer_radius=2) | A ring (region between two concentric circles). Good for donut charts.
manim.mobject.geometry.arc.Sector | Sector(radius=1, angle=PI/2) | A pie-slice shape. Good for pie charts and angle visualization.
manim.mobject.geometry.arc.CurvedArrow | CurvedArrow(start_point, end_point) | A curved arrow between two points. Good for showing rotation or flow.
manim.mobject.geometry.arc.LabeledDot | LabeledDot("text", radius=...) | A dot with a label in its center. Good for labeled points.
manim.mobject.geometry.arc.AnnotationDot | AnnotationDot(radius=...) | A dot with a bold stroke for annotations.
manim.mobject.geometry.arc.TipableVMobject | TipableVMobject(...) | Base for shapes that can have arrow tips (Arc and Line inherit from this).
manim.mobject.geometry.arc.AnnularSector | AnnularSector(inner_radius, outer_radius, angle) | A sector of a ring. Good for donut chart segments.
manim.mobject.geometry.arc.ArcPolygon | ArcPolygon(*vertices) | A polygon where edges can be arcs instead of straight lines.
manim.mobject.geometry.arc.CubicBezier | CubicBezier(anchor1, handle1, handle2, anchor2) | A cubic Bezier curve from control points.

## Geometry - Boolean Operations
manim.mobject.geometry.boolean_ops.Union | Union(*vmobjects) | Combines multiple shapes into one (union). Good for complex shapes.
manim.mobject.geometry.boolean_ops.Intersection | Intersection(*vmobjects) | Keeps only the overlapping region of shapes.
manim.mobject.geometry.boolean_ops.Difference | Difference(subject, clip) | Subtracts one shape from another. Good for cutouts.

## Geometry - Labeled Shapes
manim.mobject.geometry.labeled.Label | Label("text", ...) | A label with a box around it. Good for annotated pins.
manim.mobject.geometry.labeled.LabeledLine | LabeledLine("text", start, end) | A line with a label box along its length.
manim.mobject.geometry.labeled.LabeledArrow | LabeledArrow("text", start, end) | An arrow with a label box along its length.

## Geometry - Lines
manim.mobject.geometry.line.Line | Line(start=LEFT, end=RIGHT, color=...) | A straight line between two points. Use buff to add spacing from endpoints.
manim.mobject.geometry.line.Arrow | Arrow(start, end, buff=0.25, color=...) | An arrow with a tip. The default arrow type.
manim.mobject.geometry.line.DashedLine | DashedLine(start, end, dash_length=0.05) | A dashed line. Good for guides, axes, and secondary elements.
manim.mobject.geometry.line.DoubleArrow | DoubleArrow(start, end) | An arrow with tips on both ends.
manim.mobject.geometry.line.Vector | Vector(direction=[1,0,0], color=...) | An arrow from origin in a direction. Good for vector visualization.
manim.mobject.geometry.line.Angle | Angle(line1, line2, radius=...) | An arc representing the angle between two lines. Good for geometry proofs.
manim.mobject.geometry.line.RightAngle | RightAngle(line1, line2) | A right angle marker (small square). Good for perpendicular indicators.
manim.mobject.geometry.line.TangentLine | TangentLine(vmobject, alpha=0.5, length=1) | A tangent line to a curve at a specific point (alpha 0-1 along the curve).

## Geometry - Polygons
manim.mobject.geometry.polygram.Rectangle | Rectangle(width=4, height=2, color=...) | A rectangle. Use width, height, corner_radius, grid_xstep/ystep.
manim.mobject.geometry.polygram.Square | Square(side_length=2) | A square.
manim.mobject.geometry.polygram.Polygon | Polygon(*vertices) | A polygon from a list of vertex points.
manim.mobject.geometry.polygram.RegularPolygon | RegularPolygon(n=6) | A regular polygon with n sides. Use for hexagons, pentagons, etc.
manim.mobject.geometry.polygram.RoundedRectangle | RoundedRectangle(corner_radius=0.5) | A rectangle with rounded corners. Good for cards and boxes.
manim.mobject.geometry.polygram.Triangle | Triangle() | An equilateral triangle.
manim.mobject.geometry.polygram.Star | Star(n=5, outer_radius=1) | A star shape.
manim.mobject.geometry.polygram.Polygram | Polygram(*vertex_groups) | A generalized polygon that can have multiple vertex groups.
manim.mobject.geometry.polygram.RegularPolygram | RegularPolygram(num_vertices, density=2) | A star-like polygram shape.
manim.mobject.geometry.polygram.Cutout | Cutout(main_shape, *cutouts) | Cuts smaller shapes out of a main shape. Good for creating hollow shapes.
manim.mobject.geometry.polygram.ConvexHull | ConvexHull(*points) | The convex hull of a set of points.

## Geometry - Shape Matchers (decorative helpers)
manim.mobject.geometry.shape_matchers.SurroundingRectangle | SurroundingRectangle(mobject, color=YELLOW, buff=0.1) | Draws a rectangle around a mobject. Perfect for highlighting or boxing content.
